cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 34400 70600
2 1 0 2 19300 24100
3 2 9 3 25600 30900
4 3 19 4 32900 32100
5 4 57 5 39900 40300
6 5 80 6 47200 38500
7 6 128 7 54900 41000
8 7 289 8 76200 58300
9 8 243 9 96400 71100
10 9 419 10 104600 68800
11 10 550 11 117400 83100
12 11 794 12 125900 58000
13 12 1123 13 105800 61700
14 13 1204 14 112500 59900
15 14 1638 15 120600 65100
16 15 1585 16 133000 65700
17 16 2001 17 156100 72900
18 17 2713 18 201100 104500
19 18 4048 19 220600 118400
20 19 3631 20 233400 108100
21 20 4285 21 292300 146300
22 21 5482 22 533000 134000
23 22 5558 23 224000 92800
24 23 7241 24 205200 87900
25 24 7421 25 221900 88500
26 25 8922 26 245900 96200
27 26 9563 27 242700 94500
28 27 11444 28 274000 96700
29 28 10993 29 609300 99900
30 29 11723 30 274300 101400
31 30 14560 31 288500 103800
32 31 13717 32 303300 104500
33 32 18192 33 307200 112100
34 33 20362 34 321300 113800
35 34 19345 35 341100 119000
36 35 24300 36 341800 118400
37 36 19694 37 354600 120100
38 37 29385 38 366200 131300
39 38 28272 39 380900 123800
40 39 32382 40 386000 136200
41 40 29991 41 403900 131000
42 41 36678 42 431000 131000
43 42 36921 43 434400 133800
44 43 38284 44 486700 142700
45 44 47669 45 460100 139300
46 45 33843 46 492800 139500
47 46 53364 47 481100 142700
48 47 57371 48 501100 142900
49 48 56338 49 501900 145700
50 49 58398 50 532700 147100
51 50 66022 51 535000 149900
52 51 61268 52 553600 154300
53 52 81183 53 559600 155800
54 53 71580 54 584000 160700
55 54 80012 55 588900 161700
56 55 93799 56 614100 162300
57 56 76752 57 650400 163300
58 57 96218 58 648000 165100
59 58 113082 59 654100 167400
60 59 106196 60 674000 171300
61 60 103869 61 681000 172000
62 61 109517 62 704600 174000
63 62 134226 63 709000 177500
64 63 132362 64 736700 178500
65 64 148065 65 742100 186700
66 65 147818 66 764900 187100
67 66 149641 67 771400 195500
68 67 157082 68 812500 204800
69 68 177206 69 806900 202400
70 69 173789 70 824500 204600
71 70 154307 71 846500 206800
72 71 190151 72 860400 210400
73 72 172524 73 875600 213000
74 73 193306 74 896800 218200
75 74 202817 75 914400 220900
76 75 208881 76 962700 215100
77 76 215147 77 948100 220900
78 77 224973 78 973500 214400
79 78 255963 79 995300 221700
80 79 278281 80 1008300 223500
81 80 252143 81 1027500 220500
82 81 275974 82 1052000 225400
83 82 265893 83 1068900 225100
84 83 279148 84 1119000 229600
85 84 299900 85 1106300 229300
86 85 341872 86 1120400 237700
87 86 334068 87 1156700 236600
88 87 312593 88 1165500 239800
89 88 320377 89 1183800 238200
90 89 391126 90 1203600 260300
91 90 360464 91 1227900 242800
92 91 371639 92 1250900 245100
93 92 416353 93 1268100 247100
94 93 429212 94 1298400 249300
95 94 399493 95 1305900 256200
96 95 444489 96 1323700 256200
97 96 442104 97 1376900 260300
98 97 477306 98 1380300 258700
99 98 473400 99 1392900 262500
100 99 525969 100 1421400 263000
