cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 34300 55600
1 0 0 1 33100 63000
1 0 0 1 40400 50400
1 0 0 1 32900 50800
1 0 0 1 32500 50500
1 0 0 1 32300 50000
1 0 0 1 33200 18800
1 0 0 1 12200 19200
1 0 0 1 12400 19100
1 0 0 1 12100 18900
1 0 0 1 13600 20800
1 0 0 1 12200 18600
1 0 0 1 12300 18900
1 0 0 1 12500 19800
1 0 0 1 12100 18800
1 0 0 1 12200 18900
1 0 0 1 12100 21300
1 0 0 1 12100 18800
1 0 0 1 12200 19100
1 0 0 1 12200 18800
1 0 0 1 12200 18900
1 0 0 1 12100 18600
1 0 0 1 12100 18800
1 0 0 1 16600 26000
1 0 0 1 17600 20300
1 0 0 1 12200 19900
1 0 0 1 12800 19400
1 0 0 1 15200 18900
1 0 0 1 12300 18700
1 0 0 1 12000 18600
1 0 0 1 12100 18800
1 0 0 1 12000 18600
1 0 0 1 12000 18700
1 0 0 1 12000 18600
1 0 0 1 12100 18600
1 0 0 1 12100 19200
1 0 0 1 12300 18600
1 0 0 1 12100 18800
1 0 0 1 12000 24800
1 0 0 1 12100 18600
1 0 0 1 12100 18700
1 0 0 1 12100 18500
1 0 0 1 12000 18700
1 0 0 1 12200 18900
1 0 0 1 12300 19100
1 0 0 1 12500 19200
1 0 0 1 12200 18800
1 0 0 1 12100 18800
1 0 0 1 12200 18700
1 0 0 1 12300 21100
1 0 0 1 12400 19300
1 0 0 1 12100 18800
1 0 0 1 13900 29000
1 0 0 1 18100 19000
1 0 0 1 14000 21600
1 0 0 1 18800 31500
1 0 0 1 18400 30900
1 0 0 1 16800 24100
1 0 0 1 20200 24000
1 0 0 1 16600 31100
1 0 0 1 18500 31000
1 0 0 1 17700 26000
1 0 0 1 15000 24400
1 0 0 1 15900 29800
1 0 0 1 19200 30400
1 0 0 1 19000 35400
1 0 0 1 17500 25700
1 0 0 1 15100 24400
1 0 0 1 15900 29400
1 0 0 1 19200 30500
1 0 0 1 19100 31400
1 0 0 1 18100 25700
1 0 0 1 16200 24000
1 0 0 1 20400 29300
1 0 0 1 17000 23600
1 0 0 1 15900 24400
1 0 0 1 17900 31100
1 0 0 1 18300 30100
1 0 0 1 17000 24900
1 0 0 1 15100 24300
1 0 0 1 16000 36400
1 0 0 1 19100 30100
1 0 0 1 19500 26500
1 0 0 1 15500 23900
1 0 0 1 15800 28800
1 0 0 1 19400 31100
1 0 0 1 19100 30900
1 0 0 1 19400 27200
1 0 0 1 15700 23300
1 0 0 1 15800 25000
1 0 0 1 19400 30800
1 0 0 1 18900 31300
1 0 0 1 18600 30800
1 0 0 1 16600 23300
1 0 0 1 15800 23800
1 0 0 1 21700 31600
1 0 0 1 18500 31400
1 0 0 1 17600 24300
1 0 0 1 15300 24200
1 0 0 1 16300 31200
2 1 1 2 30000 41300
2 1 3 2 26900 31100
2 1 1 2 25200 38800
2 1 0 2 30100 41100
2 1 0 2 30500 40400
2 1 3 2 28900 32800
2 1 2 2 24700 31400
2 1 0 2 43400 40200
2 1 1 2 30500 41200
2 1 1 2 30100 35900
2 1 0 2 26100 31500
2 1 0 2 25000 38700
2 1 3 2 32000 41400
2 1 2 2 30500 41100
2 1 3 2 30500 41000
2 1 0 2 30600 41500
2 1 2 2 30500 40000
2 1 0 2 26400 33700
2 1 1 2 23900 31500
2 1 1 2 29800 39900
2 1 3 2 29300 36600
2 1 3 2 23600 31500
2 1 3 2 29800 49800
2 1 3 2 30800 34200
2 1 3 2 24900 31800
2 1 2 2 30600 40100
2 1 0 2 29100 40500
2 1 1 2 29800 45400
2 1 1 2 26400 31200
2 1 2 2 25100 38900
2 1 2 2 29700 41000
2 1 2 2 30200 40100
2 1 2 2 29400 32400
2 1 0 2 29300 31300
2 1 2 2 28600 40200
2 1 2 2 29900 40900
2 1 3 2 30600 41300
2 1 0 2 30900 41300
2 1 2 2 36800 41200
2 1 0 2 29900 36400
2 1 1 2 26300 29800
2 1 2 2 24700 38200
2 1 0 2 29900 40700
2 1 0 2 26600 34300
2 1 1 2 25100 34600
2 1 3 2 30600 39700
2 1 1 2 28800 32600
2 1 3 2 25300 32500
2 1 3 2 30700 42900
2 1 2 2 30500 40900
2 1 0 2 30300 34100
2 1 2 2 25400 31700
2 1 2 2 25400 40100
2 1 0 2 29700 40900
2 1 2 2 36500 40400
2 1 1 2 24900 32700
2 1 2 2 25200 32300
2 1 2 2 30600 40200
2 1 2 2 30800 41300
2 1 3 2 32900 38700
2 1 1 2 26200 30700
2 1 1 2 25000 34200
2 1 1 2 30600 39100
2 1 3 2 29800 31300
2 1 1 2 24900 36700
2 1 3 2 30400 39700
2 1 1 2 30300 32300
2 1 0 2 25000 33200
2 1 0 2 30300 39700
2 1 0 2 30300 41200
2 1 0 2 29600 35000
2 1 1 2 24200 31400
2 1 2 2 27900 40800
2 1 0 2 29800 41400
2 1 2 2 30600 40600
2 1 3 2 27200 31400
2 1 3 2 25100 33400
2 1 3 2 30500 40300
2 1 3 2 30400 40600
2 1 2 2 21800 24400
2 1 1 2 19400 24100
2 1 3 2 23400 25300
2 1 0 2 21600 37300
2 1 3 2 30800 34000
2 1 3 2 24500 31800
2 1 2 2 30200 40000
2 1 1 2 30700 35200
2 1 1 2 24900 32100
2 1 1 2 30500 40500
2 1 3 2 30400 41000
2 1 0 2 29400 38100
2 1 2 2 26500 31100
