cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
3 3 5 3 26100 29000
3 3 9 3 25900 29400
3 3 1 3 25900 28800
3 3 4 3 25900 28700
3 3 5 3 26300 29600
3 3 11 3 25800 27400
3 3 4 3 25900 29000
3 3 4 3 25800 29300
3 3 6 3 26000 27500
3 3 5 3 25900 29200
3 3 11 3 26300 31700
3 3 13 3 26200 29300
3 3 5 3 25900 27200
3 3 6 3 25900 27000
3 3 3 3 25800 29000
3 3 1 3 25800 28700
3 3 0 3 26200 27200
3 3 0 3 30400 29400
3 3 8 3 26000 29100
3 3 6 3 25900 28900
3 3 3 3 26400 27600
3 3 6 3 25700 29800
3 3 4 3 26000 29300
3 3 11 3 25900 30300
3 3 4 3 26200 28900
3 3 11 3 26200 29300
3 3 10 3 26100 27100
3 3 10 3 26000 28700
3 3 4 3 25900 28900
3 3 5 3 26200 29600
3 3 1 3 28400 29500
3 3 7 3 25900 29300
3 3 5 3 25800 28900
3 3 0 3 25800 28900
3 3 10 3 25800 29800
3 3 4 3 26300 26900
3 3 6 3 26100 34000
3 3 7 3 26000 27000
3 3 14 3 25800 27000
3 3 7 3 25800 27000
3 3 7 3 25800 26900
3 3 9 3 26400 27300
3 3 6 3 25800 27600
3 3 5 3 28500 29300
3 3 4 3 26200 27200
3 3 2 3 26400 29400
3 3 9 3 26000 29100
3 3 7 3 25900 29000
3 3 1 3 25700 29400
3 3 6 3 26100 31700
3 3 12 3 26300 28900
3 3 0 3 26000 28900
3 3 8 3 25900 26900
3 3 2 3 25900 26900
3 3 4 3 26200 27400
3 3 1 3 25800 27300
3 3 3 3 30900 27100
3 3 0 3 25800 29000
3 3 3 3 25900 27000
3 3 7 3 25800 27100
3 3 7 3 26300 26800
3 3 5 3 26200 28900
3 3 9 3 26300 29400
3 3 9 3 25900 27100
3 3 0 3 25800 27000
3 3 2 3 25800 28700
3 3 6 3 26500 29100
3 3 6 3 25900 30000
3 3 16 3 25900 27300
3 3 8 3 25800 27400
3 3 3 3 26000 27100
3 3 3 3 26200 29100
3 3 5 3 26000 28900
3 3 7 3 26100 29200
3 3 8 3 25900 29300
4 6 17 3 33300 34700
4 6 3 4 33200 30700
4 6 8 4 33300 31200
4 6 13 4 33700 31500
4 6 13 3 34100 31000
4 6 14 3 33200 30700
4 6 10 3 35600 30300
4 6 15 4 33300 31100
4 6 18 4 34000 31400
4 6 17 3 33500 30400
4 6 7 4 33200 31500
