fabricas clientes rutas costo cantaristas tiempo 
5 7 66 58 7 32 
5 7 66 64 7 32 
5 7 66 145 7 33 
5 7 66 84 7 32 
5 7 66 93 7 32 
5 7 66 45 7 32 
1 12 78 203 12 45 
1 12 78 164 12 41 
1 12 78 268 12 40 
1 12 78 98 12 40 
1 12 78 203 12 40 
1 12 78 261 12 40 
1 12 78 260 12 40 
1 12 78 238 12 41 
1 12 78 140 12 40 
1 12 78 277 12 40 
2 11 78 225 11 39 
2 11 78 80 11 39 
2 11 78 144 11 38 
2 11 78 161 11 39 
2 11 78 144 11 39 
2 11 78 194 11 39 
2 11 78 206 11 39 
2 11 78 157 11 39 
2 11 78 238 11 39 
2 11 78 154 11 39 
3 10 78 328 10 38 
3 10 78 102 10 37 
3 10 78 149 10 37 
3 10 78 149 10 38 
3 10 78 167 10 38 
3 10 78 57 10 38 
3 10 78 129 10 37 
3 10 78 139 10 38 
3 10 78 146 10 37 
3 10 78 91 10 38 
4 9 78 155 9 36 
4 9 78 158 9 37 
4 9 78 162 9 37 
4 9 78 116 9 37 
4 9 78 186 9 37 
4 9 78 126 9 37 
4 9 78 104 9 40 
4 9 78 103 9 37 
4 9 78 72 9 36 
4 9 78 124 9 37 
5 8 78 52 8 36 
5 8 78 78 8 35 
5 8 78 151 8 35 
5 8 78 94 8 35 
5 8 78 203 8 43 
5 8 78 85 8 36 
5 8 78 68 8 35 
5 8 78 59 8 35 
5 8 78 107 8 35 
5 8 78 121 8 36 
1 13 91 312 13 45 
1 13 91 108 13 44 
1 13 91 241 13 44 
1 13 91 179 13 44 
1 13 91 256 13 44 
1 13 91 294 13 44 
1 13 91 295 13 44 
1 13 91 169 13 43 
1 13 91 133 13 53 
1 13 91 179 13 54 
2 12 91 194 12 58 
2 12 91 241 12 52 
2 12 91 194 12 44 
2 12 91 242 12 43 
2 12 91 186 12 43 
2 12 91 312 12 43 
2 12 91 200 12 43 
2 12 91 243 12 43 
2 12 91 188 12 43 
2 12 91 281 12 43 
3 11 91 114 11 41 
3 11 91 173 11 41 
3 11 91 181 11 41 
3 11 91 209 11 41 
3 11 91 196 11 42 
3 11 91 173 11 42 
3 11 91 187 11 41 
3 11 91 127 11 42 
3 11 91 97 11 41 
3 11 91 284 11 41 
4 10 91 206 10 41 
4 10 91 175 10 41 
4 10 91 139 10 40 
4 10 91 122 10 39 
4 10 91 263 10 40 
4 10 91 149 10 41 
4 10 91 135 10 40 
4 10 91 100 10 41 
4 10 91 230 10 41 
4 10 91 156 10 40 
5 9 91 142 9 39 
5 9 91 250 9 39 
5 9 91 191 9 39 
5 9 91 82 9 39 
5 9 91 82 9 39 
5 9 91 157 9 39 
5 9 91 99 9 40 
5 9 91 129 9 39 
5 9 91 168 9 40 
5 9 91 118 9 39 
6 8 91 136 8 37 
6 8 91 68 8 38 
6 8 91 78 8 38 
6 8 91 76 8 39 
6 8 91 78 8 37 
6 8 91 159 8 49 
6 8 91 54 8 38 
6 8 91 110 8 38 
6 8 91 104 8 38 
6 8 91 127 8 38 
1 14 105 244 14 49 
1 14 105 295 14 49 
1 14 105 115 14 50 
1 14 105 313 14 48 
1 14 105 220 14 49 
1 14 105 248 14 49 
1 14 105 250 14 48 
1 14 105 298 14 49 
1 14 105 233 14 50 
1 14 105 224 14 49 
2 13 105 182 13 48 
2 13 105 230 13 47 
2 13 105 286 13 47 
2 13 105 347 13 48 
2 13 105 226 13 48 
2 13 105 132 13 48 
