fabricas clientes rutas costo cantaristas tiempo 
5 7 7 687 7 32 
5 7 7 418 7 32 
5 7 7 447 7 32 
5 7 7 576 7 32 
5 7 7 406 7 32 
5 7 7 624 7 32 
1 12 12 832 12 42 
1 12 12 1141 12 38 
1 12 12 1014 12 37 
1 12 12 873 12 38 
1 12 12 1005 12 37 
1 12 12 1127 12 36 
1 12 12 942 12 37 
1 12 12 998 12 37 
1 12 12 1023 12 37 
1 12 12 1057 12 43 
2 11 11 976 11 37 
2 11 11 1122 11 37 
2 11 11 740 11 37 
2 11 11 651 11 37 
2 11 11 810 11 37 
2 11 11 607 11 36 
2 11 11 1015 11 36 
2 11 11 1037 11 36 
2 11 11 1118 11 36 
2 11 11 1240 11 37 
3 10 10 797 10 35 
3 10 10 1173 10 35 
3 10 10 754 10 35 
3 10 10 1068 10 36 
3 10 10 769 10 35 
3 10 10 894 10 35 
3 10 10 904 10 35 
3 10 10 934 10 36 
3 10 10 1017 10 36 
3 10 10 407 10 36 
4 9 9 688 9 34 
4 9 9 893 9 35 
4 9 9 843 9 35 
4 9 9 724 9 35 
4 9 9 604 9 35 
4 9 9 741 9 35 
4 9 9 693 9 34 
4 9 9 588 9 35 
4 9 9 573 9 35 
4 9 9 894 9 35 
5 8 8 584 8 34 
5 8 8 757 8 33 
5 8 8 790 8 34 
5 8 8 547 8 34 
5 8 8 776 8 34 
5 8 8 647 8 34 
5 8 8 1009 8 34 
5 8 8 864 8 34 
5 8 8 939 8 34 
5 8 8 426 8 34 
1 13 13 1314 13 40 
1 13 13 1189 13 39 
1 13 13 1036 13 40 
1 13 13 1387 13 39 
1 13 13 1310 13 39 
1 13 13 1541 13 48 
1 13 13 1316 13 40 
1 13 13 969 13 39 
1 13 13 1019 13 40 
1 13 13 1190 13 40 
2 12 12 1272 12 38 
2 12 12 1318 12 40 
2 12 12 1390 12 39 
2 12 12 903 12 39 
2 12 12 947 12 38 
2 12 12 1302 12 38 
2 12 12 1097 12 38 
2 12 12 955 12 39 
2 12 12 1189 12 39 
2 12 12 1126 12 39 
3 11 11 1176 11 38 
3 11 11 1096 11 39 
3 11 11 977 11 38 
3 11 11 1033 11 38 
3 11 11 1083 11 38 
3 11 11 1156 11 37 
3 11 11 964 11 37 
3 11 11 844 11 38 
3 11 11 1036 11 38 
3 11 11 971 11 38 
4 10 10 925 10 37 
4 10 10 1109 10 38 
4 10 10 981 10 37 
4 10 10 1212 10 48 
4 10 10 1236 10 37 
4 10 10 1005 10 44 
4 10 10 851 10 40 
4 10 10 1009 10 41 
4 10 10 891 10 40 
4 10 10 750 10 48 
5 9 9 839 9 50 
5 9 9 989 9 47 
